INSTNM,CITY,STABBR,CONTROL,LATITUDE,LONGITUDE,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,DEBT_MDN,ADM_RATE,SAT_AVG,ACTCM50,UGDS
Alabama A & M University,Normal,AL,1,34.783368,-86.568502,23751.0,10024.0,18634.0,40628.0,16600,0.6622,947.0,17.0,5726.0
University of Alabama at Birmingham,Birmingham,AL,1,33.505697,-86.799345,27826.0,8832.0,21864.0,54501.0,15832,0.8842,1251.0,26.0,12118.0
Amridge University,Montgomery,AL,2,32.362609,-86.17401,,,,37621.0,13385,,,,226.0
University of Alabama in Huntsville,Huntsville,AL,1,34.724557,-86.640449,27098.0,11770.0,24662.0,61767.0,13905,0.7425,1321.0,28.0,6650.0
Alabama State University,Montgomery,AL,1,32.364317,-86.295677,22028.0,11248.0,19576.0,34502.0,17500,0.9564,977.0,18.0,3322.0
The University of Alabama,Tuscaloosa,AL,1,33.211875,-87.545978,32024.0,11900.0,33200.0,59221.0,17986,0.7582,1287.0,27.0,32323.0
Athens State University,Athens,AL,1,34.806793,-86.964698,,,,50273.0,14861,,,,2407.0
Auburn University at Montgomery,Montgomery,AL,1,32.36736,-86.177544,21873.0,9436.0,20092.0,44391.0,13119,0.9263,1090.0,21.0,2693.0
Auburn University,Auburn,AL,1,32.599378,-85.488258,34402.0,12536.0,33944.0,65337.0,17750,0.5047,1318.0,28.0,25732.0
Birmingham-Southern College,Birmingham,AL,2,33.513774,-86.850552,38385.0,22750.0,22750.0,59481.0,16000,0.5194,1197.0,24.0,713.0
South University-Montgomery,Montgomery,AL,3,32.342684,-86.216488,30704.0,18238.0,18238.0,34421.0,13000,,,,302.0
Faulkner University,Montgomery,AL,2,32.384181,-86.21641,36910.0,23920.0,23920.0,43457.0,15000,0.6613,1016.0,19.0,1555.0
Huntingdon College,Montgomery,AL,2,32.351034,-86.284366,39686.0,28650.0,28650.0,49601.0,20000,0.7083,1148.0,23.0,865.0
Heritage Christian University,Florence,AL,2,34.856153,-87.663051,,11982.0,11982.0,42597.0,PS,1.0,,,63.0
Jacksonville State University,Jacksonville,AL,1,33.822938,-85.765321,23422.0,12426.0,22716.0,45235.0,14000,0.7622,1055.0,20.0,7030.0
University of West Alabama,Livingston,AL,1,32.588132,-88.186329,22402.0,10990.0,20090.0,44232.0,13000,0.8711,1015.0,19.0,2666.0
Miles College,Fairfield,AL,2,33.482442,-86.908751,22900.0,12714.0,12714.0,32627.0,15691,,,,1151.0
University of Mobile,Mobile,AL,2,30.793247,-88.128934,38731.0,26120.0,26120.0,43611.0,19000,0.7251,1220.0,25.0,1079.0
University of Montevallo,Montevallo,AL,1,33.10625,-86.865099,26233.0,13710.0,26730.0,42957.0,16000,0.539,,,2087.0
University of North Alabama,Florence,AL,1,34.80731,-87.680407,22086.0,11990.0,22190.0,45415.0,15781,0.9648,,,5468.0
Oakwood University,Huntsville,AL,2,34.756344,-86.652705,38592.0,21838.0,21838.0,42488.0,21500,0.5051,,,1253.0
Samford University,Birmingham,AL,2,33.464128,-86.791799,53934.0,38144.0,38144.0,58469.0,15750,0.8223,1203.0,25.0,3828.0
Selma University,Selma,AL,2,32.420387,-87.032392,,4800.0,4800.0,,,,,,34.0
University of South Alabama,Mobile,AL,1,30.696033,-88.178711,22070.0,9676.0,18652.0,49379.0,17750,0.6549,1119.0,22.0,8540.0
Spring Hill College,Mobile,AL,2,30.694751,-88.138199,37172.0,23270.0,23270.0,51500.0,21500,0.591,1090.0,21.0,850.0
Stillman College,Tuscaloosa,AL,2,33.200006,-87.585278,23485.0,11392.0,11392.0,35421.0,16000,0.7422,,,761.0
Talladega College,Talladega,AL,2,33.433472,-86.112704,23441.0,15650.0,15650.0,32229.0,15000,0.9925,,,782.0
Troy University,Troy,AL,1,31.799583,-85.95802,21816.0,9792.0,19584.0,42062.0,15985,0.9261,1086.0,21.0,10089.0
Tuskegee University,Tuskegee,AL,2,32.4309,-85.708492,41924.0,23440.0,23440.0,49641.0,21250,0.3143,1121.0,22.0,2367.0
United States Sports Academy,Daphne,AL,2,30.639329,-87.91163,,18900.0,18900.0,55257.0,10976,0.3529,,,136.0
University of Alaska Anchorage,Anchorage,AK,1,61.190163,-149.82619,21848.0,7566.0,21693.0,51871.0,11231,0.6652,,,6916.0
Alaska Bible College,Palmer,AK,2,61.598553,-149.111972,22101.0,10930.0,10930.0,,PS,,,,34.0
University of Alaska Fairbanks,Fairbanks,AK,1,64.85756,-147.823146,21182.0,8640.0,22752.0,48866.0,11283,,,,4027.0
Alaska Pacific University,Anchorage,AK,2,61.190968,-149.804168,34964.0,20760.0,20760.0,54271.0,12696,0.8621,,,400.0
Brookline College-Phoenix,Phoenix,AZ,3,33.566102,-112.112473,,,,29576.0,9500,,,,714.0
Arizona State University Campus Immersion,Tempe,AZ,1,33.417721,-111.934383,28047.0,12051.0,32193.0,62668.0,13610,0.9019,,,64398.0
University of Arizona,Tucson,AZ,1,32.232672,-110.950815,28543.0,13626.0,41095.0,59979.0,13750,0.8566,1261.0,26.0,40769.0
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,2,34.616766,-112.449741,60158.0,42204.0,42204.0,84131.0,14250,0.7519,1256.0,26.0,3245.0
Grand Canyon University,Phoenix,AZ,3,33.513231,-112.129929,31493.0,17450.0,17450.0,42186.0,12500,0.6036,1095.0,21.0,68619.0
Northern Arizona University,Flagstaff,AZ,1,35.188449,-111.653724,29495.0,12652.0,28900.0,54384.0,12916,0.9095,,,23041.0
Prescott College,Prescott,AZ,2,34.5452,-112.477185,47228.0,35685.0,35685.0,42359.0,12500,0.9857,,,253.0
Arizona Christian University,Glendale,AZ,2,33.622952,-112.181776,50950.0,34697.0,34697.0,51612.0,6251,0.7442,,,1127.0
University of Arkansas at Little Rock,Little Rock,AR,1,34.723254,-92.339778,21013.0,8455.0,19210.0,45265.0,14500,0.5774,1049.0,20.0,4740.0
University of Arkansas for Medical Sciences,Little Rock,AR,1,34.750152,-92.322348,,,,73827.0,13000,,,,1361.0
Arkansas Baptist College,Little Rock,AR,2,34.734751,-92.290555,22626.0,8760.0,8760.0,28418.0,8250,,,,373.0
Lyon College,Batesville,AR,2,35.777619,-91.625354,44943.0,31000.0,31000.0,44232.0,10699,0.6554,,,563.0
University of Arkansas,Fayetteville,AR,1,36.070009,-94.176981,26161.0,9748.0,28772.0,58191.0,15749,0.7167,1174.0,24.0,27312.0
University of Arkansas at Pine Bluff,Pine Bluff,AR,1,34.244031,-92.018683,20907.0,9019.0,17029.0,35550.0,14328,0.5754,916.0,16.0,1899.0
Arkansas State University,Jonesboro,AR,1,35.842388,-90.679988,22823.0,7754.0,13826.0,42617.0,15000,0.6967,1119.0,22.0,7994.0
University of Central Arkansas,Conway,AR,1,35.077945,-92.457672,24265.0,10118.0,17258.0,45938.0,13000,0.9047,1117.0,22.0,7426.0
Central Baptist College,Conway,AR,2,35.083838,-92.445021,27468.0,19680.0,19680.0,46789.0,12876,0.4636,1022.0,19.0,477.0
Crowley's Ridge College,Paragould,AR,2,36.064845,-90.584395,25817.0,16440.0,16440.0,39533.0,13918,,,,162.0
Harding University,Searcy,AR,2,35.247386,-91.726143,36385.0,24888.0,24888.0,52876.0,21601,1.0,1187.0,24.0,3323.0
Henderson State University,Arkadelphia,AR,1,34.128155,-93.059703,25946.0,7885.0,9882.0,43459.0,12000,0.8192,,,1491.0
Hendrix College,Conway,AR,2,35.101565,-92.443256,52396.0,36650.0,36650.0,60376.0,19500,0.5298,1336.0,29.0,1094.0
John Brown University,Siloam Springs,AR,2,36.189812,-94.560283,43260.0,30832.0,30832.0,53907.0,17000,0.6764,1222.0,25.0,1415.0
Ouachita Baptist University,Arkadelphia,AR,2,34.126093,-93.052471,45132.0,32480.0,32480.0,51673.0,15000,0.6852,1212.0,25.0,1612.0
University of the Ozarks,Clarksville,AR,2,35.476278,-93.467221,35391.0,25950.0,25950.0,44384.0,11000,0.5814,1088.0,21.0,753.0
Philander Smith University,Little Rock,AR,2,34.737131,-92.283015,26729.0,13014.0,13014.0,38427.0,14750,,,,842.0
Williams Baptist University,Walnut Ridge,AR,2,36.125676,-90.940277,32222.0,20330.0,20330.0,38484.0,9500,0.5888,1018.0,19.0,490.0
Southern Arkansas University Main Campus,Magnolia,AR,1,33.291618,-93.235922,24721.0,9820.0,15400.0,42386.0,12500,0.6659,1050.0,20.0,2865.0
University of Arkansas-Fort Smith,Fort Smith,AR,1,35.384184,-94.373729,18052.0,6906.0,13770.0,41102.0,10750,0.8147,1050.0,20.0,4133.0
Academy of Art University,San Francisco,CA,3,37.787943,-122.400578,47195.0,28024.0,28024.0,39008.0,11000,,,,4131.0
Art Center College of Design,Pasadena,CA,2,34.169031,-118.185102,71652.0,51640.0,51640.0,71958.0,26000,0.7498,,,2054.0
Azusa Pacific University,Azusa,CA,2,34.130047,-117.888375,54735.0,43600.0,43600.0,66677.0,19710,0.7948,1155.0,24.0,2977.0
Bethesda University,Anaheim,CA,2,33.842295,-117.941323,11766.0,7220.0,7220.0,,7648,,,,212.0
Biola University,La Mirada,CA,2,33.906203,-118.014374,58430.0,46704.0,46704.0,56778.0,19000,0.6008,1258.0,28.0,3390.0
California Institute of Integral Studies,San Francisco,CA,2,37.774924,-122.416102,,,,48848.0,18750,,,,57.0
California Baptist University,Riverside,CA,2,33.929321,-117.425619,52408.0,39720.0,39720.0,61504.0,20500,0.7357,,,7914.0
California College of the Arts,San Francisco,CA,2,37.767485,-122.399451,78664.0,57946.0,57946.0,49414.0,19500,0.734,,,1004.0
California Institute of Technology,Pasadena,CA,2,34.137349,-118.125878,83598.0,63255.0,63255.0,128566.0,12000,0.0314,,,1023.0
California Lutheran University,Thousand Oaks,CA,2,34.224566,-118.878924,63768.0,50670.0,50670.0,68712.0,18970,0.8888,1224.0,26.0,2374.0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,1,35.299513,-120.657311,29918.0,11075.0,30995.0,90768.0,15396,0.2975,,,21521.0
California State University-Bakersfield,Bakersfield,CA,1,35.350005,-119.104711,18815.0,7696.0,19576.0,59009.0,11270,0.8819,,,8183.0
California State University-Stanislaus,Turlock,CA,1,37.52577,-120.852511,18542.0,7826.0,19706.0,63188.0,11750,0.9747,,,8564.0
California State University-San Bernardino,San Bernardino,CA,1,34.182622,-117.323801,16910.0,7675.0,19555.0,59977.0,12445,0.9825,,,15771.0
California State Polytechnic University-Pomona,Pomona,CA,1,34.057912,-117.821476,22672.0,7439.0,19319.0,71902.0,13437,0.737,,,24271.0
California State University-Chico,Chico,CA,1,39.729712,-121.844859,25590.0,8064.0,19944.0,64172.0,14500,0.9372,,,13057.0
California State University-Dominguez Hills,Carson,CA,1,33.864766,-118.255917,15449.0,7064.0,18944.0,57162.0,11902,0.9132,,,12642.0
California State University-Fresno,Fresno,CA,1,36.811154,-119.744569,18650.0,6980.0,18860.0,61244.0,12463,0.9638,,,21070.0
California State University-Fullerton,Fullerton,CA,1,33.881506,-117.885446,16767.0,7073.0,18953.0,62951.0,12000,0.8674,,,36956.0
California State University-East Bay,Hayward,CA,1,37.657694,-122.054135,22803.0,7055.0,18935.0,71401.0,12500,0.9681,,,10422.0
California State University-Long Beach,Long Beach,CA,1,33.782818,-118.11204,20310.0,7008.0,18888.0,64403.0,12227,0.4712,,,34131.0
California State University-Los Angeles,Los Angeles,CA,1,34.066927,-118.168965,17153.0,6813.0,18698.0,59211.0,11966,0.9193,,,21478.0
California State University-Northridge,Northridge,CA,1,34.240126,-118.529319,20317.0,7095.0,18975.0,59115.0,12000,0.9315,,,32357.0
California State University-Sacramento,Sacramento,CA,1,38.559415,-121.423549,22714.0,7602.0,19482.0,64876.0,12500,0.9362,,,27867.0
University of California-Berkeley,Berkeley,CA,1,37.871918,-122.260463,42708.0,14850.0,45627.0,92446.0,12000,0.1166,,,33073.0
University of California-Davis,Davis,CA,1,38.539667,-121.749567,38067.0,15247.0,46024.0,80838.0,11000,0.4163,,,31777.0
University of California-Irvine,Irvine,CA,1,33.648434,-117.841248,36121.0,14237.0,45014.0,80735.0,13820,0.2557,,,29494.0
University of California-Los Angeles,Los Angeles,CA,1,34.07178,-118.442179,36643.0,13747.0,44524.0,82511.0,12983,0.0873,,,33040.0
University of California-Riverside,Riverside,CA,1,33.97246,-117.32741,34975.0,14170.0,44947.0,67699.0,14944,0.633,,,22644.0
University of California-San Diego,La Jolla,CA,1,32.877749,-117.235866,36325.0,15265.0,46042.0,84943.0,14778,0.2452,,,33787.0
University of California-Santa Barbara,Santa Barbara,CA,1,34.416297,-119.846426,36776.0,14965.0,45742.0,74915.0,11875,0.2778,,,23205.0
University of California-Santa Cruz,Santa Cruz,CA,1,36.995584,-122.058801,38649.0,14560.0,45337.0,68396.0,14334,0.6254,,,17812.0
Sofia University,Palo Alto,CA,3,37.430325,-122.10866,,,,,PS,,,,7.0
California Institute of the Arts,Valencia,CA,2,34.39327,-118.566837,78425.0,56724.0,56724.0,41198.0,16994,0.2595,,,881.0
California State University Maritime Academy,Vallejo,CA,1,38.069061,-122.231551,27138.0,7672.0,19552.0,94784.0,16889,0.9873,,,761.0
Chapman University,Orange,CA,2,33.79302,-117.852518,81327.0,62784.0,62784.0,70070.0,17750,0.5561,1353.0,30.0,7629.0
Charles R Drew University of Medicine and Science,Los Angeles,CA,2,33.925658,-118.242791,33973.0,18933.0,18933.0,83438.0,14750,0.3878,,,233.0
Concordia University-Irvine,Irvine,CA,2,33.653665,-117.812305,56500.0,41390.0,41390.0,65083.0,19000,0.5986,,,1456.0
San Diego Christian College,Santee,CA,2,32.843454,-116.978089,40057.0,26300.0,26300.0,49766.0,13000,0.6281,,,91.0
Claremont McKenna College,Claremont,CA,2,34.102154,-117.711188,82127.0,64150.0,64150.0,104736.0,11948,0.1112,1514.0,34.0,1379.0
University of Silicon Valley,San Jose,CA,3,37.414049,-121.94087,36361.0,22480.0,22480.0,51017.0,18334,0.5131,,,377.0
California College of ASU,Los Angeles,CA,2,34.039355,-118.25968,33732.0,26175.0,26175.0,42014.0,13167,,,,149.0
Design Institute of San Diego,San Diego,CA,3,32.880926,-117.167374,42093.0,29350.0,29350.0,46920.0,24530,0.875,,,92.0
Dominican University of California,San Rafael,CA,2,37.981279,-122.512051,68620.0,50666.0,50666.0,84713.0,24250,0.9562,1194.0,24.0,1178.0
Fresno Pacific University,Fresno,CA,2,36.726831,-119.735199,42673.0,35558.0,35558.0,58896.0,19250,0.5752,,,1614.0
Golden Gate University,San Francisco,CA,2,37.789374,-122.398969,,31243.0,31243.0,87434.0,18774,,,,550.0
Harvey Mudd College,Claremont,CA,2,34.106515,-117.709837,84896.0,66255.0,66255.0,138687.0,19500,0.1306,1537.0,35.0,915.0
California State Polytechnic University-Humboldt,Arcata,CA,1,40.877481,-124.078293,24412.0,7913.0,19793.0,47626.0,14500,0.9883,,,5491.0
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,2,38.011489,-121.316918,20286.0,14760.0,14760.0,39248.0,25000,,,,178.0
Life Pacific University,San Dimas,CA,2,34.098705,-117.829388,33193.0,20462.0,20462.0,43299.0,14000,0.9395,,,393.0
University of La Verne,La Verne,CA,2,34.100855,-117.773262,61564.0,47000.0,47000.0,65464.0,21000,0.4848,1116.0,22.0,3341.0
Laguna College of Art and Design,Laguna Beach,CA,2,33.561448,-117.772564,56183.0,35650.0,35650.0,47867.0,18875,0.7761,,,776.0
Lincoln University,Oakland,CA,2,37.804788,-122.269745,,11420.0,11420.0,53695.0,12500,,,,223.0
Southern California Seminary,El Cajon,CA,2,32.799614,-116.905461,,18720.0,18720.0,39607.0,12034,,,,30.0
La Sierra University,Riverside,CA,2,33.910704,-117.500054,49365.0,35910.0,35910.0,61824.0,18500,0.933,,,1155.0
Loma Linda University,Loma Linda,CA,2,34.051241,-117.260605,,,,89816.0,17014,,,,867.0
The Master's University and Seminary,Santa Clarita,CA,2,34.381755,-118.518193,48682.0,36930.0,36930.0,57106.0,16327,0.7589,,,1606.0
Loyola Marymount University,Los Angeles,CA,2,33.97085,-118.415744,75867.0,58974.0,58974.0,78349.0,15000,0.4029,,,7171.0
Menlo College,Atherton,CA,2,37.453475,-122.190797,69879.0,51070.0,51070.0,76419.0,13000,0.6781,,,811.0
Northeastern University Oakland,Oakland,CA,2,37.781425,-122.182294,,63949.0,63949.0,92538.0,22000,0.1654,1472.0,33.0,542.0
Middlebury Institute of International Studies at Monterey,Monterey,CA,2,36.599736,-121.897325,,,,76310.0,11522,,,,8.0
Mount Saint Mary's University,Los Angeles,CA,2,34.085315,-118.482879,64637.0,48132.0,48132.0,72379.0,22167,0.6872,,,1746.0
National University,San Diego,CA,2,32.829299,-117.127296,37116.0,13320.0,13320.0,67548.0,18750,,,,9725.0
Newschool of Architecture and Design,San Diego,CA,3,32.71331,-117.153305,57642.0,30291.0,30291.0,68891.0,23618,1.0,,,212.0
San Francisco Bay University,Fremont,CA,2,37.485056,-121.927899,,8775.0,8775.0,,,0.6939,,,62.0
Notre Dame de Namur University,Belmont,CA,2,37.517111,-122.284794,,,,74576.0,16500,,,,14.0
Occidental College,Los Angeles,CA,2,34.127124,-118.210908,80636.0,63446.0,63446.0,75951.0,19000,0.3989,1461.0,33.0,1844.0
Otis College of Art and Design,Los Angeles,CA,2,33.956607,-118.416615,71880.0,55513.0,55513.0,58152.0,20000,0.8398,,,1242.0
Hope International University,Fullerton,CA,2,33.87616,-117.88573,51153.0,36250.0,36250.0,49697.0,15738,0.3539,,,549.0
Palo Alto University,Palo Alto,CA,2,37.382216,-122.187437,,,,83187.0,15000,,,,19.0
Pacific Oaks College,Pasadena,CA,2,34.153382,-118.151323,,33360.0,33360.0,52485.0,23500,0.1,,,346.0
Pacific Union College,Angwin,CA,2,38.570585,-122.440308,47244.0,35214.0,35214.0,70484.0,19500,0.4248,1093.0,23.0,910.0
University of the Pacific,Stockton,CA,2,37.981424,-121.312301,68173.0,55340.0,55340.0,78445.0,17653,0.9486,1303.0,28.0,3247.0
Pepperdine University,Malibu,CA,2,34.037786,-118.707077,85202.0,66742.0,66742.0,82939.0,19500,0.4985,1367.0,30.0,3629.0
Pitzer College,Claremont,CA,2,34.104107,-117.706675,82832.0,62692.0,62692.0,69512.0,13000,0.1666,,,1191.0
Point Loma Nazarene University,San Diego,CA,2,32.718391,-117.250265,56664.0,43550.0,43550.0,63998.0,19500,0.8176,1278.0,27.0,3132.0
Pomona College,Claremont,CA,2,34.099027,-117.714556,81196.0,62326.0,62326.0,77779.0,10000,0.0676,1520.0,34.0,1638.0
University of Redlands,Redlands,CA,2,34.064218,-117.163218,70233.0,57614.0,57614.0,72690.0,21250,0.8092,1231.0,28.0,2095.0
Samuel Merritt University,Oakland,CA,2,37.82029,-122.266331,,,,143238.0,20825,,,,712.0
San Diego State University,San Diego,CA,1,32.77525,-117.071228,27357.0,8290.0,20170.0,64909.0,12847,0.3444,,,33654.0
University of San Diego,San Diego,CA,2,32.770816,-117.192073,74879.0,56444.0,56444.0,86522.0,19019,0.4675,,,5619.0
San Francisco Conservatory of Music,San Francisco,CA,2,37.775543,-122.420292,78209.0,54550.0,54550.0,,22000,0.5194,,,215.0
San Francisco State University,San Francisco,CA,1,37.721224,-122.476799,25258.0,7424.0,19304.0,68077.0,12923,0.9615,,,20033.0
University of San Francisco,San Francisco,CA,2,37.776618,-122.450477,76421.0,58222.0,58222.0,89812.0,19000,0.5077,1313.0,29.0,5697.0
William Jessup University,Rocklin,CA,2,38.819728,-121.292312,52172.0,37150.0,37150.0,56257.0,14419,0.7682,,,1021.0
San Jose State University,San Jose,CA,1,37.336569,-121.880621,25695.0,7992.0,19872.0,78988.0,12000,0.8023,,,26757.0
Santa Clara University,Santa Clara,CA,2,37.348362,-121.93784,77768.0,59241.0,59241.0,109183.0,16845,0.4384,1417.0,31.0,6235.0
Scripps College,Claremont,CA,2,34.104147,-117.711294,83330.0,63434.0,63434.0,77539.0,11853,0.3394,1480.0,33.0,1077.0
Shasta Bible College and Graduate School,Redding,CA,2,40.566034,-122.314419,,14535.0,14535.0,28891.0,PS,1.0,,,12.0
Simpson University,Redding,CA,2,40.61334,-122.332981,52366.0,38522.0,38522.0,54340.0,13000,0.9903,,,751.0
Saint Mary's College of California,Moraga,CA,2,37.840731,-122.109031,73655.0,56134.0,56134.0,78812.0,19500,0.8858,,,2024.0
Sonoma State University,Rohnert Park,CA,1,38.340274,-122.677066,24739.0,8190.0,20070.0,65986.0,13000,0.9473,,,5374.0
Vanguard University of Southern California,Costa Mesa,CA,2,33.662686,-117.900911,50178.0,39950.0,39950.0,59541.0,15000,0.647,,,1975.0
Southern California Institute of Architecture,Los Angeles,CA,2,34.044215,-118.232799,67014.0,53564.0,53564.0,71909.0,33250,0.8267,,,236.0
University of Southern California,Los Angeles,CA,2,34.021281,-118.284169,84678.0,68237.0,68237.0,92498.0,16112,0.1002,1501.0,33.0,20817.0
Thomas Aquinas College,Santa Paula,CA,2,34.429009,-119.087141,40000.0,28700.0,28700.0,55619.0,18000,0.7871,1277.0,29.0,539.0
Epic Bible College & Graduate School,Sacramento,CA,2,38.645152,-121.362642,,15072.0,15072.0,37822.0,16446,,,,60.0
Walden University,Minneapolis,MN,3,44.98125,-93.265738,,12498.0,12498.0,42810.0,11500,,,,7337.0
Westmont College,Santa Barbara,CA,2,34.450151,-119.662517,68826.0,51790.0,51790.0,64778.0,19343,0.7986,1367.0,32.0,1310.0
Whittier College,Whittier,CA,2,33.978773,-118.032299,63925.0,49864.0,49864.0,59492.0,18125,0.8538,,,812.0
Woodbury University,Burbank,CA,2,34.208011,-118.341147,58180.0,44886.0,44886.0,65668.0,21500,0.7287,,,825.0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,2,34.085465,-118.346613,27600.0,16900.0,16900.0,48361.0,PS,0.6168,,,157.0
Adams State University,Alamosa,CO,1,37.473636,-105.879642,23800.0,9776.0,21848.0,44372.0,11750,,,,1239.0
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,1,39.745149,-104.837722,23369.0,10017.0,28209.0,64270.0,14500,0.7781,1119.0,25.0,10686.0
University of Colorado Colorado Springs,Colorado Springs,CO,1,38.892735,-104.800296,23713.0,9712.0,20492.0,54659.0,12965,0.9657,1140.0,24.0,8870.0
University of Colorado Boulder,Boulder,CO,1,40.008781,-105.270823,33466.0,16430.0,41943.0,69738.0,13000,0.8328,1353.0,31.0,31578.0
Colorado Christian University,Lakewood,CO,2,39.71388,-105.09456,50206.0,39266.0,39266.0,50416.0,14000,,,,5363.0
Colorado College,Colorado Springs,CO,2,38.84886,-104.822697,83228.0,67932.0,67932.0,65222.0,13400,0.2003,1445.0,32.0,2139.0
Colorado School of Mines,Golden,CO,1,39.751443,-105.223364,38556.0,21186.0,44376.0,97335.0,17500,0.5971,1403.0,31.0,5801.0
Colorado State University-Fort Collins,Fort Collins,CO,1,40.574805,-105.080732,29696.0,12896.0,33751.0,60543.0,14750,0.8959,,,25148.0
Colorado Technical University-Colorado Springs,Colorado Springs,CO,3,38.895069,-104.85716,21694.0,12760.0,12760.0,37180.0,12166,,,,25932.0
University of Denver,Denver,CO,2,39.678005,-104.963259,75020.0,59340.0,59340.0,71155.0,18000,0.7119,1344.0,30.0,6059.0
Fort Lewis College,Durango,CO,1,37.275939,-107.867422,25558.0,9670.0,20798.0,46349.0,9000,0.932,1084.0,20.0,3070.0
Colorado Mesa University,Grand Junction,CO,1,39.080643,-108.553275,22883.0,9712.0,24312.0,45823.0,11000,0.8139,1070.0,22.0,7604.0
Metropolitan State University of Denver,Denver,CO,1,39.744202,-105.00504,22825.0,10780.0,29503.0,52093.0,12500,0.9914,1014.0,20.0,14932.0
Naropa University,Boulder,CO,2,40.014235,-105.266987,52900.0,34600.0,34600.0,28720.0,14750,0.94,,,368.0
Nazarene Bible College,Colorado Springs,CO,2,38.944824,-104.803251,,10002.0,10002.0,41450.0,17106,,,,336.0
University of Northern Colorado,Greeley,CO,1,40.410855,-104.692777,26989.0,12010.0,26204.0,52231.0,13805,0.8643,1077.0,22.0,5693.0
Regis University,Denver,CO,2,39.788175,-105.030756,54889.0,43980.0,43980.0,72105.0,19750,0.8727,,,2599.0
Rocky Mountain College of Art and Design,Lakewood,CO,3,39.74332,-105.069911,33950.0,23720.0,23720.0,42958.0,9500,,,,1878.0
Colorado State University Pueblo,Pueblo,CO,1,38.30859,-104.579033,23891.0,9401.0,17242.0,55563.0,14475,0.9984,1005.0,22.0,3028.0
United States Air Force Academy,USAF Academy,CO,1,39.010957,-104.891358,,,,,,0.1393,1362.0,30.0,4124.0
Western Colorado University,Gunnison,CO,1,38.549936,-106.919132,25426.0,11083.0,23683.0,46833.0,12000,0.9747,1130.0,25.0,1653.0
Albertus Magnus College,New Haven,CT,2,41.332519,-72.923848,56268.0,39924.0,39924.0,60144.0,25000,0.6437,,,882.0
University of Bridgeport,Bridgeport,CT,2,41.164741,-73.190166,52786.0,35760.0,35760.0,50323.0,19500,0.6431,985.0,,1450.0
Central Connecticut State University,New Britain,CT,1,41.692502,-72.765991,24112.0,12460.0,25736.0,58562.0,16750,0.7553,1091.0,23.0,7670.0
Charter Oak State College,New Britain,CT,1,41.666848,-72.781239,22558.0,8506.0,8506.0,64209.0,12422,,,,1620.0
Connecticut College,New London,CT,2,41.379833,-72.107321,82219.0,64812.0,64812.0,75001.0,20000,0.3828,1412.0,32.0,1960.0
University of Connecticut,Storrs,CT,1,41.809098,-72.249948,36572.0,20366.0,43034.0,73997.0,18610,0.5395,1338.0,31.0,19147.0
Eastern Connecticut State University,Willimantic,CT,1,41.721673,-72.218753,30805.0,13292.0,16624.0,56469.0,18500,0.8055,1200.0,,3377.0
Fairfield University,Fairfield,CT,2,41.157673,-73.255903,73371.0,56360.0,56360.0,88794.0,23251,0.4498,1323.0,30.0,4938.0
University of Hartford,West Hartford,CT,2,41.798591,-72.715213,62273.0,47647.0,47647.0,60823.0,19500,0.8301,1207.0,28.0,4032.0
Holy Apostles College and Seminary,Cromwell,CT,2,41.60682,-72.647853,20740.0,9580.0,9580.0,,7500,,,,203.0
Mitchell College,New London,CT,2,41.328013,-72.09523,54089.0,39050.0,39050.0,39115.0,15000,0.7336,,,421.0
University of New Haven,West Haven,CT,2,41.291314,-72.961472,63970.0,45730.0,45730.0,60126.0,20475,0.8055,1190.0,,4799.0
Paier College,Bridgeport,CT,3,41.163451,-73.194727,34980.0,26400.0,26400.0,,8935,0.6154,,,183.0
Post University,Waterbury,CT,3,41.535549,-73.081497,27202.0,17100.0,17100.0,38696.0,8750,,,,18975.0
Quinnipiac University,Hamden,CT,2,41.418915,-72.894117,69666.0,53090.0,53090.0,83759.0,21500,0.77,1212.0,28.0,6208.0
Sacred Heart University,Fairfield,CT,2,41.220893,-73.243332,66669.0,48460.0,48460.0,75059.0,19860,0.6768,,,6904.0
University of Saint Joseph,West Hartford,CT,2,41.781041,-72.72965,56786.0,45908.0,45908.0,59908.0,24000,0.7964,1100.0,,825.0
Southern Connecticut State University,New Haven,CT,1,41.333225,-72.947897,28592.0,12828.0,26104.0,55043.0,15000,0.8112,,,6180.0
Trinity College,Hartford,CT,2,41.747451,-72.690882,83090.0,67420.0,67420.0,90779.0,21000,0.3352,1396.0,31.0,2193.0
United States Coast Guard Academy,New London,CT,1,41.375823,-72.101583,,,,,,0.2432,1290.0,27.0,1081.0
Wesleyan University,Middletown,CT,2,41.554665,-72.657146,85172.0,67316.0,67316.0,73897.0,13824,0.171,1513.0,34.0,2973.0
Western Connecticut State University,Danbury,CT,1,41.400365,-73.444264,24534.0,12763.0,16095.0,59115.0,17002,0.8136,1044.0,23.0,3434.0
