INSTNM,CITY,STABBR,CONTROL,LATITUDE,LONGITUDE,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,DEBT_MDN,ADM_RATE,SAT_AVG,ACTCM50,UGDS
University of Wisconsin-Eau Claire,Eau Claire,WI,1,44.798284,-91.501906,21014.0,9277.0,18516.0,58561.0,13000,0.7608,1190.0,24.0,8995.0
University of Wisconsin-Green Bay,Green Bay,WI,1,44.532298,-87.919973,18161.0,8342.0,16929.0,52528.0,11250,0.8784,1090.0,21.0,6230.0
University of Wisconsin-La Crosse,La Crosse,WI,1,43.81568,-91.23186,18115.0,9651.0,18691.0,60378.0,18000,0.7325,1190.0,24.0,9194.0
Wisconsin Lutheran College,Milwaukee,WI,2,43.036943,-88.022718,47026.0,35080.0,35080.0,54664.0,19500,0.7905,1214.0,25.0,1009.0
University of Wisconsin-Oshkosh,Oshkosh,WI,1,44.026206,-88.549369,19063.0,8212.0,16125.0,55548.0,12500,0.8668,1090.0,21.0,7613.0
University of Wisconsin-Parkside,Kenosha,WI,1,42.647718,-87.855231,16768.0,7855.0,16497.0,51129.0,14000,0.7262,1090.0,21.0,2951.0
University of Wisconsin-Stout,Menomonie,WI,1,44.873187,-91.926653,21618.0,10142.0,18706.0,58084.0,16000,0.8474,1150.0,23.0,5900.0
University of Wisconsin-Superior,Superior,WI,1,46.717629,-92.091007,18415.0,8487.0,16400.0,49606.0,14055,0.9364,1050.0,20.0,1899.0
University of Wisconsin-Madison,Madison,WI,1,43.075409,-89.404098,27770.0,11205.0,40603.0,73792.0,18058,0.4335,1402.0,30.0,35665.0
University of Wisconsin-Milwaukee,Milwaukee,WI,1,43.076848,-87.880488,22174.0,10020.0,22020.0,54990.0,15250,0.8844,1090.0,21.0,16762.0
University of Wisconsin-Platteville,Platteville,WI,1,42.733451,-90.48622,20049.0,8315.0,17274.0,61760.0,15000,0.8726,1190.0,24.0,5928.0
University of Wisconsin-River Falls,River Falls,WI,1,44.8534,-92.622641,19576.0,8606.0,16887.0,54458.0,14865,0.8162,1120.0,22.0,4152.0
University of Wisconsin-Stevens Point,Stevens Point,WI,1,44.529582,-89.570934,18804.0,8834.0,17854.0,52021.0,14674,0.9014,1120.0,22.0,7104.0
University of Wyoming,Laramie,WY,1,41.311773,-105.57931,22371.0,6938.0,22718.0,56880.0,12000,0.9741,,,8047.0
Stanford University,Stanford,CA,2,37.429434,-122.167359,82162.0,62484.0,62484.0,124080.0,9851,0.0391,1553.0,35.0,7841.0
Purdue University-Main Campus,West Lafayette,IN,1,40.428206,-86.914435,22567.0,9992.0,28794.0,72424.0,15000,0.503,1342.0,31.0,39637.0
St. John's College,Santa Fe,NM,2,35.666974,-105.912478,53018.0,38946.0,38946.0,44985.0,13500,0.4946,1367.0,30.0,369.0
Bais Medrash Elyon,Monsey,NY,2,41.114079,-74.069798,,8600.0,8600.0,,PS,0.8,,,41.0
Antioch University-Los Angeles,Culver City,CA,2,33.988533,-118.384458,,,,51541.0,17103,,,,61.0
Antioch University-Santa Barbara,Santa Barbara,CA,2,34.419203,-119.6958,,,,51541.0,17103,,,,52.0
Antioch University,Yellow Springs,OH,2,39.80321,-83.908684,,,,51541.0,17103,,,,107.0
Mid-America Christian University,Oklahoma City,OK,2,35.347785,-97.578297,30612.0,19896.0,19896.0,46116.0,15444,,,,1532.0
Yeshiva Gedolah of Greater Detroit,Oak Park,MI,2,42.471924,-83.200754,16400.0,8600.0,8600.0,,PS,0.9259,,,71.0
South University-Columbia,Columbia,SC,3,34.098042,-80.961839,31298.0,18238.0,18238.0,34421.0,13000,,,,445.0
Platt College-Aurora,Greenwood Village,CO,3,39.613133,-104.899235,44255.0,20590.0,20590.0,77602.0,33443,0.3636,,,215.0
University of Massachusetts Global,Irvine,CA,1,33.656401,-117.769012,33365.0,12520.0,12520.0,65703.0,18750,,,,4902.0
New College of Florida,Sarasota,FL,1,27.384925,-82.55858,20732.0,6916.0,29944.0,48082.0,12000,0.74,1137.0,23.0,707.0
Yeshivah Gedolah Rabbinical College,Miami Beach,FL,2,25.782445,-80.141334,18200.0,9300.0,9300.0,30667.0,PS,,,,77.0
University of Advancing Technology,Tempe,AZ,3,33.377712,-111.976087,31353.0,19430.0,19430.0,50719.0,12000,0.9541,,,892.0
California State University-San Marcos,San Marcos,CA,1,33.130569,-117.159013,21144.0,7739.0,19619.0,62908.0,13500,0.957,,,14174.0
Hodges University,Fort Myers,FL,2,26.610865,-81.821419,28157.0,15580.0,15580.0,37052.0,17600,,,,171.0
Nossi College of Art and Design,Nashville,TN,3,36.24323,-86.738561,26846.0,20350.0,20350.0,35113.0,17708,0.4327,,,278.0
Yeshiva Gedolah Imrei Yosef D'spinka,Brooklyn,NY,2,40.628468,-73.992328,18269.0,11500.0,11500.0,36545.0,PS,,,,232.0
Northwest College of Art & Design,Tacoma,WA,3,47.25249,-122.43885,30217.0,18100.0,18100.0,31167.0,29030,0.7647,,,150.0
University of Washington-Bothell Campus,Bothell,WA,1,47.759773,-122.191293,24462.0,12559.0,41913.0,78466.0,12375,0.9177,1376.0,33.0,5228.0
University of Washington-Tacoma Campus,Tacoma,WA,1,47.244594,-122.438541,24528.0,12817.0,42171.0,78466.0,12375,0.8295,,,3989.0
Provo College,Provo,UT,3,40.245294,-111.68431,34045.0,16491.0,16491.0,39645.0,24262,,,,704.0
Beacon College,Leesburg,FL,2,28.811281,-81.87415,68815.0,49230.0,49230.0,29420.0,18500,0.6037,,,497.0
Rabbi Jacob Joseph School,Edison,NJ,2,40.501001,-74.397954,20300.0,12700.0,12700.0,,PS,0.9032,,,96.0
Everglades University,Boca Raton,FL,2,26.391218,-80.108331,36311.0,20768.0,20768.0,47597.0,18950,0.8644,,,2369.0
College of Biblical Studies-Houston,Houston,TX,2,29.716676,-95.506559,20532.0,7475.0,9275.0,39260.0,14750,,,,482.0
Soka University of America,Aliso Viejo,CA,2,33.554546,-117.735344,52758.0,37450.0,37450.0,55017.0,15250,0.6952,1360.0,,464.0
World Mission University,Los Angeles,CA,2,34.064918,-118.289484,22556.0,6920.0,6920.0,,PS,,,,180.0
Schiller International University,Tampa,FL,3,27.947866,-82.459292,24840.0,13680.0,13680.0,35529.0,23224,,,,35.0
Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,2,40.704389,-73.956772,27700.0,21850.0,21850.0,,PS,,,,233.0
Florida National University-Main Campus,Hialeah,FL,3,25.86178,-80.321846,33531.0,16088.0,16088.0,33928.0,16492,,,,2354.0
California State University-Monterey Bay,Seaside,CA,1,36.652397,-121.796178,26017.0,7437.0,19317.0,59247.0,11000,0.9483,,,5811.0
Capella University,Minneapolis,MN,3,44.976286,-93.268796,22029.0,14436.0,14436.0,42189.0,8814,,,,16173.0
Trine University-Regional/Non-Traditional Campuses,Angola,IN,2,41.632502,-85.008009,21976.0,9576.0,9576.0,57165.0,18500,0.2162,,,273.0
The University of Texas MD Anderson Cancer Center,Houston,TX,1,29.707016,-95.396804,,,,90232.0,12500,,,,322.0
Messenger College,Bedford,TX,2,32.85076,-97.161015,26199.0,11200.0,11200.0,29463.0,27000,0.5,,,26.0
New York College of Health Professions,Syosset,NY,2,40.811129,-73.51534,46556.0,14235.0,14235.0,31601.0,17644,,,,32.0
University of Phoenix-Hawaii,Kapolei,HI,3,21.334103,-158.08161,,,,37752.0,16690,,,,10.0
Yeshiva D'monsey Rabbinical College,Monsey,NY,2,41.114173,-74.064721,17700.0,9200.0,9200.0,,PS,0.4231,,,86.0
Arizona College of Nursing-Tempe,Tempe,AZ,3,33.403079,-111.965808,35067.0,24853.0,24853.0,34657.0,9500,1.0,,,1246.0
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,2,29.189903,-81.048367,24015.0,11665.0,11665.0,84131.0,14250,0.6175,1193.0,27.0,8786.0
Ottawa University-Milwaukee,Brookfield,WI,2,43.02963,-88.115185,,,,55552.0,12500,,,,57.0
Strayer University-Maryland,Suitland,MD,3,38.827438,-76.918039,23838.0,13920.0,13920.0,40092.0,14000,,,,1177.0
Texas Health and Science University,Austin,TX,3,30.233143,-97.785289,,,,,PS,,,,
Yeshiva of the Telshe Alumni,Riverdale,NY,2,40.896668,-73.911096,,9400.0,9400.0,,PS,,,,78.0
American University of Health Sciences,Signal Hill,CA,3,33.796849,-118.171366,,24575.0,24575.0,93610.0,32484,1.0,,,364.0
Western Governors University,Salt Lake City,UT,2,40.68481,-111.869752,14464.0,8300.0,8300.0,60615.0,8318,,,,135822.0
California Aeronautical University,Bakersfield,CA,3,35.434905,-119.049264,44854.0,35465.0,35465.0,38361.0,13354,,,,383.0
Florida Gulf Coast University,Fort Myers,FL,1,26.463638,-81.7726,18269.0,6118.0,25162.0,54560.0,11999,0.7675,1120.0,22.0,13809.0
Yeshiva College of the Nations Capital,Silver  Spring,MD,2,39.042404,-77.030566,24800.0,11100.0,11100.0,,PS,,,,57.0
Louisiana State University Health Sciences Center-Shreveport,Shreveport,LA,1,32.480683,-93.761018,,,,74671.0,15719,,,,20.0
Los Angeles Film School,Hollywood,CA,3,34.098338,-118.3284,,,,31632.0,15934,,,,5833.0
International Baptist College and Seminary,Chandler,AZ,2,33.273788,-111.879629,26104.0,13500.0,13500.0,39556.0,PS,,,,55.0
University of Connecticut-Waterbury Campus,Waterbury,CT,1,41.555617,-73.039242,20917.0,17462.0,40130.0,73997.0,18610,0.8704,1070.0,,746.0
University of Connecticut-Avery Point,Groton,CT,1,41.316419,-72.065336,21603.0,17462.0,40130.0,73997.0,18610,0.8651,1130.0,,464.0
University of Connecticut-Stamford,Stamford,CT,1,41.056081,-73.542206,27737.0,17472.0,40140.0,73997.0,18610,0.8019,1080.0,21.0,2177.0
University of Management and Technology,Arlington,VA,3,38.89743,-77.072001,,9450.0,9450.0,68530.0,8971,,,,322.0
Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,2,26.121964,-80.142235,,,,,PS,,,,74.0
The King's University,Southlake,TX,2,32.93973,-97.121526,25128.0,12480.0,12480.0,41471.0,14250,1.0,,,272.0
New Saint Andrews College,Moscow,ID,2,46.731422,-117.001804,,15700.0,15700.0,,,0.8571,1245.0,27.0,273.0
Oregon State University-Cascades Campus,Bend,OR,1,44.042795,-121.333703,27461.0,12594.0,34944.0,64010.0,15000,0.6844,,,1054.0
Southern University Law Center,Baton Rouge,LA,1,30.523898,-91.194417,,,,43371.0,15455,,,,648.0
Yeshiva Shaarei Torah of Rockland,Suffern,NY,2,41.12362,-74.090159,24095.0,13000.0,13000.0,89548.0,PS,0.3469,,,141.0
Nevada State University,Henderson,NV,1,35.982345,-114.938044,23035.0,6368.0,20449.0,53166.0,12547,0.8615,,,3791.0
California State University-Channel Islands,Camarillo,CA,1,34.162949,-119.04356,24039.0,6817.0,18697.0,62152.0,12500,0.9306,,,5230.0
Franklin W Olin College of Engineering,Needham,MA,2,42.293527,-71.263378,81486.0,64458.0,64458.0,129455.0,14287,0.2166,1540.0,35.0,373.0
University of Arkansas Grantham,LIttle Rock,AR,1,34.775996,-92.343582,14752.0,8280.0,8280.0,63496.0,8491,,,,3202.0
University of the Potomac-VA Campus,FALLS CHURCH,VA,3,38.906944,-77.216062,,6660.0,6660.0,34961.0,7500,,,,177.0
Faith International University,Tacoma,WA,2,47.280168,-122.51687,20793.0,8850.0,8850.0,51006.0,12500,,,,196.0
Family of Faith Christian University,Shawnee,OK,2,35.462234,-96.901413,,8220.0,8220.0,,PS,1.0,,,41.0
West Coast University-Los Angeles,North Hollywood,CA,3,34.187134,-118.39941,58637.0,37194.0,37194.0,102672.0,24145,,,,2687.0
Williamson Christian College,Franklin,TN,2,35.95616,-86.828311,28954.0,15010.0,15010.0,37474.0,PS,,,,40.0
DigiPen Institute of Technology,Redmond,WA,3,47.68871,-122.150603,51366.0,37400.0,37400.0,79878.0,21163,0.6802,1295.0,31.0,1032.0
Strayer University-Tennessee,Memphis,TN,3,35.076643,-89.901042,23838.0,13920.0,13920.0,40092.0,14000,,,,2670.0
Strayer University-Pennsylvania,Trevose,PA,3,40.13955,-74.962991,23838.0,13920.0,13920.0,40092.0,14000,,,,1334.0
Brookline College-Albuquerque,Albuquerque,NM,3,35.08781,-106.68749,,,,29576.0,9500,,,,492.0
Northcentral University,San Diego,CA,2,32.829299,-117.127296,,,,48414.0,9430,,,,98.0
Baptist University of the Americas,San Antonio,TX,2,29.342919,-98.541223,15001.0,7680.0,7680.0,37709.0,PS,,,,98.0
Beis Medrash Heichal Dovid,Far Rockaway,NY,2,40.596845,-73.751633,20500.0,10040.0,10040.0,,PS,0.7,,,183.0
Charlotte Christian College and Theological Seminary,Charlotte,NC,2,35.159664,-80.737194,,11960.0,11960.0,33696.0,8701,,,,36.0
Nightingale College,Salt Lake City,UT,3,40.767465,-111.887917,,,,27126.0,10500,,,,4244.0
American InterContinental University System,Chandler,AZ,3,33.278816,-111.804036,20949.0,12310.0,12310.0,36144.0,9500,,,,6734.0
American InterContinental University-Houston,Houston,TX,3,29.728216,-95.548302,25557.0,14842.0,14842.0,36144.0,9500,,,,124.0
University of California-Merced,Merced,CA,1,37.366237,-120.424944,37098.0,14167.0,44944.0,64368.0,12750,0.3918,,,8372.0
